,Roy Blunt,Susan Collins,John Hoeven,Cory Booker,Mark Warner,Mark Warner,John Cornyn,Maria Cantwell,Tina Smith,Tammy Duckworth,Michael Bennet,Sheldon Whitehouse,Gary Peters,Jerry Moran,David Perdue,Richard Burr,Patty Murray,Ron Wyden,Pat Roberts
2012-06-14,2852255,2062021.5,23344784.5,403751.5,107046287.5,17068767,942261,2878254,848010,348765.5,7853007,3721814,2184052.5,879769.5,12911298,3713106.5,843505,3438512.5,1483257
2012-06-15,2852255,2062021.5,23344784.5,403751.5,107046287.5,17068767,942261,2878254,848010,348765.5,7853007,3721814,2184052.5,879769.5,12911298,3713106.5,843505,3438512.5,1483257
2012-06-16,2852255,2062021.5,23344784.5,403751.5,107046287.5,17068767,942261,2878254,848010,348765.5,7853007,3721814,2184052.5,879769.5,12911298,3713106.5,843505,3438512.5,1483257
2012-06-17,2852255,2062021.5,23344784.5,403751.5,107046287.5,17068767,942261,2878254,848010,348765.5,7853007,3721814,2184052.5,879769.5,12911298,3713106.5,843505,3438512.5,1483257
2012-06-18,2852255,2062021.5,23344784.5,403751.5,107046287.5,17068767,942261,2878254,848010,348765.5,7853007,3721814,2184052.5,879769.5,12911298,3713106.5,843505,3438512.5,1483257
2012-06-19,2852255,2062021.5,23344784.5,403751.5,107046287.5,17068767,942261,2878254,848010,348765.5,7853007,3721814,2184052.5,879769.5,12911298,3713106.5,843505,3438512.5,1483257
2012-06-20,2852255,2062021.5,23344784.5,403751.5,107046287.5,17068767,942261,2878254,848010,348765.5,7853007,3721814,2184052.5,879769.5,12911298,3713106.5,843505,3438512.5,1483257
2012-06-21,2852255,2062021.5,23344784.5,403751.5,107046287.5,17068767,942261,2878254,848010,348765.5,7853007,3721814,2184052.5,879769.5,12911298,3713106.5,843505,3438512.5,1483257
2012-06-22,2852255,2062021.5,23344784.5,403751.5,107046287.5,17068767,942261,2878254,848010,348765.5,7853007,3721814,2184052.5,879769.5,12911298,3713106.5,843505,3438512.5,1483257
2012-06-23,2852255,2062021.5,23344784.5,403751.5,107046287.5,17068767,942261,2878254,848010,348765.5,7853007,3721814,2184052.5,879769.5,12911298,3713106.5,843505,3438512.5,1483257
