Symbol,senator,party,sex,trade_date,owner,ticker,type,trade_amount_max,trade_amount_min,buy_one_year_change,one_mo_vtsax_change,one_year_vtsax_change,buy_compare_one_year,one_month_sell,one_month_sell_compare,weight,trade_day,trade_month,trade_year,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
XCAPX,Thomas Carper,1,1,29Jan2021,Spouse,XCAPX,Purchase,50000,15000,,0.031875463,,,,,4.0599999,29,jan,2021,,,,,,,,,,,,,
GME,Patrick Toomey,0,1,28Jan2021,Child,GME,Sale,15000,1000,,0.01632356,,,-0.438378099,-0.454701659,1,28,jan,2021,,,,,,,,,,,,,
COST,Jerry Moran,0,1,27Jan2021,Spouse,COST,Sale,15000,1000,,0.054616112,,,-0.044024804,-0.098640916,1,27,jan,2021,Costco Wholesale Corp.,Consumer Staples,178.61,30.69,1.0917627,6.09,199.88,150,80439804508,5679000000,0.61203885,7.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COST
COST,Jerry Moran,0,1,27Jan2021,Self,COST,Sale,15000,1000,,0.054616112,,,-0.044024804,-0.098640916,1,27,jan,2021,Costco Wholesale Corp.,Consumer Staples,178.61,30.69,1.0917627,6.09,199.88,150,80439804508,5679000000,0.61203885,7.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COST
SHOP,Patrick Toomey,0,1,27Jan2021,Child,SHOP,Sale,15000,1000,,0.054616112,,,0.191442019,0.136825907,1,27,jan,2021,,,,,,,,,,,,,
GME,Patrick Toomey,0,1,27Jan2021,Child,GME,Purchase,15000,1000,,0.054616112,,,,,1,27,jan,2021,,,,,,,,,,,,,
TSLA,Patrick Toomey,0,1,27Jan2021,Child,TSLA,Sale,15000,1000,,0.054616112,,,-0.141339567,-0.195955678,1,27,jan,2021,,,,,,,,,,,,,
DD,Thomas Carper,1,1,27Jan2021,Spouse,DD,Sale,50000,15000,,0.054616112,,,-0.079845956,-0.134462068,4.0599999,27,jan,2021,,,,,,,,,,,,,
PBA,Thomas Carper,1,1,26Jan2021,Spouse,PBA,Sale,15000,1000,,0.015449151,,,0.019485294,0.004036143,1,26,jan,2021,,,,,,,,,,,,,
AQN,Thomas Carper,1,1,26Jan2021,Spouse,AQN,Purchase,15000,1000,,0.015449151,,,,,1,26,jan,2021,,,,,,,,,,,,,
VIAV,Thomas Carper,1,1,25Jan2021,Spouse,VIAV,Sale,15000,1000,,0.0124439,,,0.04,0.0275561,1,25,jan,2021,,,,,,,,,,,,,
EVOP,Thomas Carper,1,1,25Jan2021,Spouse,EVOP,Sale,15000,1000,,0.0124439,,,0.094749795,0.082305894,1,25,jan,2021,,,,,,,,,,,,,
STAG,Gary Peters,1,1,15Jan2021,Self,STAG,Purchase,15000,1000,,0.052006253,,,,,1,15,jan,2021,,,,,,,,,,,,,
AEP,Gary Peters,1,1,15Jan2021,Self,AEP,Purchase,15000,1000,,0.052006253,,,,,1,15,jan,2021,American Electric Power,Utilities,63.38,17.32,3.8479443,1.24,78.07,62.69,31701916517,4450800000,2.7489934,1.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP
RODM,Thomas Carper,1,1,13Jan2021,Spouse,RODM,Sale,15000,1000,,0.035013427,,,0.00310559,-0.031907837,1,13,jan,2021,,,,,,,,,,,,,
FCPIX,Thomas Carper,1,1,13Jan2021,Spouse,FCPIX,Purchase,15000,1000,,0.035013427,,,,,1,13,jan,2021,,,,,,,,,,,,,
RODM,Thomas Carper,1,1,13Jan2021,Spouse,RODM,Sale,15000,1000,,0.035013427,,,0.00310559,-0.031907837,1,13,jan,2021,,,,,,,,,,,,,
FCPIX,Thomas Carper,1,1,13Jan2021,Spouse,FCPIX,Purchase,15000,1000,,0.035013427,,,,,1,13,jan,2021,,,,,,,,,,,,,
FEYE,Thomas Carper,1,1,11Jan2021,Spouse,FEYE,Sale,15000,1000,,0.039510526,,,-0.066144473,-0.105654999,1,11,jan,2021,,,,,,,,,,,,,
PSQ,Thomas Carper,1,1,11Jan2021,Spouse,PSQ,Sale,15000,1000,,0.039510526,,,-0.060627178,-0.100137703,1,11,jan,2021,,,,,,,,,,,,,
SH,Thomas Carper,1,1,11Jan2021,Spouse,SH,Sale,15000,1000,,0.039510526,,,-0.032694476,-0.072205002,1,11,jan,2021,,,,,,,,,,,,,
DDOG,Thomas Carper,1,1,11Jan2021,Spouse,DDOG,Sale,15000,1000,,0.039510526,,,0.116738609,0.077228083,1,11,jan,2021,,,,,,,,,,,,,
PSQ,Thomas Carper,1,1,11Jan2021,Spouse,PSQ,Sale,15000,1000,,0.039510526,,,-0.060627178,-0.100137703,1,11,jan,2021,,,,,,,,,,,,,
SH,Thomas Carper,1,1,11Jan2021,Spouse,SH,Sale,15000,1000,,0.039510526,,,-0.032694476,-0.072205002,1,11,jan,2021,,,,,,,,,,,,,
PSQ,Thomas Carper,1,1,11Jan2021,Spouse,PSQ,Sale,15000,1000,,0.039510526,,,-0.060627178,-0.100137703,1,11,jan,2021,,,,,,,,,,,,,
SH,Thomas Carper,1,1,11Jan2021,Spouse,SH,Sale,15000,1000,,0.039510526,,,-0.032694476,-0.072205002,1,11,jan,2021,,,,,,,,,,,,,
CAG,Thomas Carper,1,1,11Jan2021,Spouse,CAG,Sale,15000,1000,,0.039510526,,,0.051359517,0.011848991,1,11,jan,2021,Conagra Brands,Consumer Staples,35.49,18.2,2.3683476,1.46,41.68,32.16,14379717835,1281200000,1.8294994,3.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAG
AJRD,Thomas Carper,1,1,08Jan2021,Spouse,AJRD,Sale,15000,1000,,0.024445591,,,-0.000757719,-0.02520331,1,8,jan,2021,,,,,,,,,,,,,
CRSP,James Inhofe,0,1,05Jan2021,Self,CRSP,Sale,15000,1000,,0.035160399,,,0.046880837,0.011720437,1,5,jan,2021,,,,,,,,,,,,,
PSQ,Thomas Carper,1,1,04Jan2021,Spouse,PSQ,Purchase,15000,1000,,0.028923407,,,,,1,4,jan,2021,,,,,,,,,,,,,
SH,Thomas Carper,1,1,04Jan2021,Spouse,SH,Purchase,15000,1000,,0.028923407,,,,,1,4,jan,2021,,,,,,,,,,,,,
PSQ,Thomas Carper,1,1,04Jan2021,Spouse,PSQ,Purchase,15000,1000,,0.028923407,,,,,1,4,jan,2021,,,,,,,,,,,,,
SH,Thomas Carper,1,1,04Jan2021,Spouse,SH,Purchase,15000,1000,,0.028923407,,,,,1,4,jan,2021,,,,,,,,,,,,,
PSQ,Thomas Carper,1,1,04Jan2021,Spouse,PSQ,Purchase,15000,1000,,0.028923407,,,,,1,4,jan,2021,,,,,,,,,,,,,
SH,Thomas Carper,1,1,04Jan2021,Spouse,SH,Purchase,15000,1000,,0.028923407,,,,,1,4,jan,2021,,,,,,,,,,,,,
UNH,Shelley Capito,0,0,31Dec2020,Spouse,UNH,Purchase,15000,1000,,0.015199493,,,,,1,31,dec,2020,United Health Group Inc.,Health Care,216.46,21.47,1.3284917,10.71,250.79,156.49,218834811333,17454000000,1.0903316,4.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNH
PSX,Shelley Capito,0,0,31Dec2020,Spouse,PSX,Purchase,15000,1000,,0.015199493,,,,,1,31,dec,2020,Phillips 66,Energy,92.44,21.11,2.928564,9.93,107.47,75.135,47996220000,5311000000,0.47499472,2.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PSX
AMT,Shelley Capito,0,0,31Dec2020,Spouse,AMT,Purchase,15000,1000,,0.015199493,,,,,1,31,dec,2020,American Tower Corp A,Real Estate,133.57,20.68,2,1.97,155.28,103.36,59213892640,3792383000,11.954137,9.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT
SYY,Shelley Capito,0,0,31Dec2020,Spouse,SYY,Sale,15000,1000,,0.015199493,,,-0.001481282,-0.016680775,1,31,dec,2020,Sysco Corp.,Consumer Staples,57,22.98,2.4644873,2.08,64.27,48.85,30445320778,2988725000,0.7295535,13.4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYY
PII,Shelley Capito,0,0,31Dec2020,Spouse,PII,Sale,15000,1000,,0.015199493,,,0.234781696,0.219582203,1,31,dec,2020,,,,,,,,,,,,,
OTIS,Shelley Capito,0,0,31Dec2020,Spouse,OTIS,Sale,15000,1000,,0.015199493,,,-0.055070318,-0.070269812,1,31,dec,2020,,,,,,,,,,,,,
XOM,Shelley Capito,0,0,31Dec2020,Spouse,XOM,Sale,15000,1000,,0.015199493,,,0.117418729,0.102219235,1,31,dec,2020,Exxon Mobil Corp.,Energy,76.07,21.37,4.0031195,1.88,89.3,76.05,326148660000,39052000000,1.7701944,1.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XOM
