senator,party,sex,trade_date,owner,ticker,type,trade_amount_max,trade_amount_min,buy_one_year_change,one_mo_vtsax_change,one_year_vtsax_change,buy_compare_one_year,one_month_sell,one_month_sell_compare,weight
Thomas Carper,1,1,29Jan2021,Spouse,XCAPX,Purchase,50000,15000,,0.031875463,,,,,4.0599999
Patrick Toomey,0,1,28Jan2021,Child,GME,Sale,15000,1000,,0.01632356,,,-0.438378099,-0.454701659,1
Jerry Moran,0,1,27Jan2021,Spouse,COST,Sale,15000,1000,,0.054616112,,,-0.044024804,-0.098640916,1
Jerry Moran,0,1,27Jan2021,Self,COST,Sale,15000,1000,,0.054616112,,,-0.044024804,-0.098640916,1
Patrick Toomey,0,1,27Jan2021,Child,SHOP,Sale,15000,1000,,0.054616112,,,0.191442019,0.136825907,1
Patrick Toomey,0,1,27Jan2021,Child,GME,Purchase,15000,1000,,0.054616112,,,,,1
Patrick Toomey,0,1,27Jan2021,Child,TSLA,Sale,15000,1000,,0.054616112,,,-0.141339567,-0.195955678,1
Thomas Carper,1,1,27Jan2021,Spouse,DD,Sale,50000,15000,,0.054616112,,,-0.079845956,-0.134462068,4.0599999
Thomas Carper,1,1,26Jan2021,Spouse,PBA,Sale,15000,1000,,0.015449151,,,0.019485294,0.004036143,1
Thomas Carper,1,1,26Jan2021,Spouse,AQN,Purchase,15000,1000,,0.015449151,,,,,1
Thomas Carper,1,1,25Jan2021,Spouse,VIAV,Sale,15000,1000,,0.0124439,,,0.04,0.0275561,1
Thomas Carper,1,1,25Jan2021,Spouse,EVOP,Sale,15000,1000,,0.0124439,,,0.094749795,0.082305894,1
Gary Peters,1,1,15Jan2021,Self,STAG,Purchase,15000,1000,,0.052006253,,,,,1
Gary Peters,1,1,15Jan2021,Self,AEP,Purchase,15000,1000,,0.052006253,,,,,1
Thomas Carper,1,1,13Jan2021,Spouse,RODM,Sale,15000,1000,,0.035013427,,,0.00310559,-0.031907837,1
Thomas Carper,1,1,13Jan2021,Spouse,FCPIX,Purchase,15000,1000,,0.035013427,,,,,1
Thomas Carper,1,1,13Jan2021,Spouse,RODM,Sale,15000,1000,,0.035013427,,,0.00310559,-0.031907837,1
Thomas Carper,1,1,13Jan2021,Spouse,FCPIX,Purchase,15000,1000,,0.035013427,,,,,1
Thomas Carper,1,1,11Jan2021,Spouse,FEYE,Sale,15000,1000,,0.039510526,,,-0.066144473,-0.105654999,1
Thomas Carper,1,1,11Jan2021,Spouse,PSQ,Sale,15000,1000,,0.039510526,,,-0.060627178,-0.100137703,1
Thomas Carper,1,1,11Jan2021,Spouse,SH,Sale,15000,1000,,0.039510526,,,-0.032694476,-0.072205002,1
Thomas Carper,1,1,11Jan2021,Spouse,DDOG,Sale,15000,1000,,0.039510526,,,0.116738609,0.077228083,1
Thomas Carper,1,1,11Jan2021,Spouse,PSQ,Sale,15000,1000,,0.039510526,,,-0.060627178,-0.100137703,1
Thomas Carper,1,1,11Jan2021,Spouse,SH,Sale,15000,1000,,0.039510526,,,-0.032694476,-0.072205002,1
Thomas Carper,1,1,11Jan2021,Spouse,PSQ,Sale,15000,1000,,0.039510526,,,-0.060627178,-0.100137703,1
Thomas Carper,1,1,11Jan2021,Spouse,SH,Sale,15000,1000,,0.039510526,,,-0.032694476,-0.072205002,1
Thomas Carper,1,1,11Jan2021,Spouse,CAG,Sale,15000,1000,,0.039510526,,,0.051359517,0.011848991,1
Thomas Carper,1,1,08Jan2021,Spouse,AJRD,Sale,15000,1000,,0.024445591,,,-0.000757719,-0.02520331,1
James Inhofe,0,1,05Jan2021,Self,CRSP,Sale,15000,1000,,0.035160399,,,0.046880837,0.011720437,1
Thomas Carper,1,1,04Jan2021,Spouse,PSQ,Purchase,15000,1000,,0.028923407,,,,,1
Thomas Carper,1,1,04Jan2021,Spouse,SH,Purchase,15000,1000,,0.028923407,,,,,1
Thomas Carper,1,1,04Jan2021,Spouse,PSQ,Purchase,15000,1000,,0.028923407,,,,,1
Thomas Carper,1,1,04Jan2021,Spouse,SH,Purchase,15000,1000,,0.028923407,,,,,1
Thomas Carper,1,1,04Jan2021,Spouse,PSQ,Purchase,15000,1000,,0.028923407,,,,,1
Thomas Carper,1,1,04Jan2021,Spouse,SH,Purchase,15000,1000,,0.028923407,,,,,1
Shelley Capito,0,0,31Dec2020,Spouse,UNH,Purchase,15000,1000,,0.015199493,,,,,1
Shelley Capito,0,0,31Dec2020,Spouse,PSX,Purchase,15000,1000,,0.015199493,,,,,1
Shelley Capito,0,0,31Dec2020,Spouse,AMT,Purchase,15000,1000,,0.015199493,,,,,1
Shelley Capito,0,0,31Dec2020,Spouse,SYY,Sale,15000,1000,,0.015199493,,,-0.001481282,-0.016680775,1
Shelley Capito,0,0,31Dec2020,Spouse,PII,Sale,15000,1000,,0.015199493,,,0.234781696,0.219582203,1
Shelley Capito,0,0,31Dec2020,Spouse,OTIS,Sale,15000,1000,,0.015199493,,,-0.055070318,-0.070269812,1
Shelley Capito,0,0,31Dec2020,Spouse,XOM,Sale,15000,1000,,0.015199493,,,0.117418729,0.102219235,1
Shelley Capito,0,0,31Dec2020,Spouse,CLX,Sale,15000,1000,,0.015199493,,,0.037886292,0.022686798,1
Shelley Capito,0,0,31Dec2020,Self,CARR,Sale,15000,1000,,0.015199493,,,0.012725345,-0.002474149,1
Sheldon Whitehouse,1,1,30Dec2020,Joint,--,Sale,15000,1000,,0.009864234,,,,,1
Thomas Carper,1,1,30Dec2020,Spouse,TSLA,Purchase,15000,1000,,0.009864234,,,,,1
Thomas Carper,1,1,30Dec2020,Spouse,PBA,Sale,15000,1000,,0.009864234,,,0.115482234,0.105617999,1
Thomas Carper,1,1,30Dec2020,Spouse,DD,Sale,15000,1000,,0.009864234,,,0.108108108,0.098243874,1
Thomas Carper,1,1,30Dec2020,Spouse,DOW,Sale,15000,1000,,0.009864234,,,-0.019469984,-0.029334218,1
Thomas Carper,1,1,30Dec2020,Spouse,VTRS,Sale,15000,1000,,0.009864234,,,-0.070049641,-0.079913876,1
Thomas Carper,1,1,30Dec2020,Spouse,NTAP,Purchase,15000,1000,,0.009864234,,,,,1
Thomas Carper,1,1,30Dec2020,Spouse,SBIO,Purchase,15000,1000,,0.009864234,,,,,1
Thomas Carper,1,1,30Dec2020,Spouse,BMY,Purchase,15000,1000,,0.009864234,,,,,1
Pat Roberts,0,1,22Dec2020,Spouse,BA,Purchase,50000,15000,,0.030122406,,,,,4.0599999
Pat Roberts,0,1,22Dec2020,Spouse,PLUG,Purchase,15000,1000,,0.030122406,,,,,1
Pat Roberts,0,1,22Dec2020,Spouse,SQ,Purchase,50000,15000,,0.030122406,,,,,4.0599999
Pat Roberts,0,1,22Dec2020,Spouse,COST,Purchase,50000,15000,,0.030122406,,,,,4.0599999
Pat Roberts,0,1,22Dec2020,Spouse,AAPL,Purchase,50000,15000,,0.030122406,,,,,4.0599999
James Inhofe,0,1,22Dec2020,Self,CRSP,Sale,100000,50000,,0.030122406,,,0.165863123,0.135740718,9.3800001
Pat Roberts,0,1,21Dec2020,Spouse,BA,Purchase,50000,15000,,0.030341744,,,,,4.0599999
Pat Roberts,0,1,21Dec2020,Spouse,NVDA,Purchase,100000,50000,,0.030341744,,,,,9.3800001
Pat Roberts,0,1,21Dec2020,Spouse,EXPI,Purchase,15000,1000,,0.030341744,,,,,1
Pat Roberts,0,1,21Dec2020,Spouse,ETY,Sale,250000,100000,,0.030341744,,,,,21.879999
Pat Roberts,0,1,21Dec2020,Spouse,,Sale,100000,50000,,0.030341744,,,,,9.3800001
Pat Roberts,0,1,21Dec2020,Spouse,TSLA,Sale,15000,1000,,0.030341744,,,,,1
Rick Scott,0,1,17Dec2020,Spouse,--,Purchase,1000000,500000,,0.024253336,,,,,31.25
Susan Collins,0,0,16Dec2020,Spouse,DNKN,Sale,100000,50000,,0.033408048,,,,,9.3800001
Pat Roberts,0,1,16Dec2020,Spouse,AAPL,Sale,250000,100000,,0.033408048,,,0.024098271,-0.009309777,21.879999
